question,answer,text
Who is the sister of Death Eater Bellatrix Lestrange?,Narcissa Malfoy,<s>[INST] Who is the sister of Death Eater Bellatrix Lestrange? [/INST] Narcissa Malfoy </s>
Which is NOT a reason for a wizard to remain on earth as a ghost?,Hunger,<s>[INST] Which is NOT a reason for a wizard to remain on earth as a ghost? [/INST] Hunger </s>
Who kills Dobby?,Bellatrix Lestrange,<s>[INST] Who kills Dobby? [/INST] Bellatrix Lestrange </s>
What does Hagrid use to channel the pieces of his wand once it's been broken?,A pink umbrella,<s>[INST] What does Hagrid use to channel the pieces of his wand once it's been broken? [/INST] A pink umbrella </s>
Who is the Gamekeeper of Hogwarts?,Rubeus Hagrid,<s>[INST] Who is the Gamekeeper of Hogwarts? [/INST] Rubeus Hagrid </s>
What is the animal symbol of Ravenclaw?,Eagle,<s>[INST] What is the animal symbol of Ravenclaw? [/INST] Eagle </s>
True or false: Harry Potter and the Deathly Hallows: Part Two is the shortest Harry Potter movie.,True! The run time is just 130 minutes.,<s>[INST] True or false: Harry Potter and the Deathly Hallows: Part Two is the shortest Harry Potter movie. [/INST] True! The run time is just 130 minutes. </s>
"Snape grilled Harry about this on his first day in Potions. Monkshood and wolfsbane are the same plant, also known as what?",Aconite.,"<s>[INST] Snape grilled Harry about this on his first day in Potions. Monkshood and wolfsbane are the same plant, also known as what? [/INST] Aconite. </s>"
What's the only all-wizard village in Britain?,Hogsmeade,<s>[INST] What's the only all-wizard village in Britain? [/INST] Hogsmeade </s>
"Oy, you'll be sure to remember this one. During our first day of Herbology class, what creature took the form of a werewolf and gave Penny Haywood a scare?",Boggart,"<s>[INST] Oy, you'll be sure to remember this one. During our first day of Herbology class, what creature took the form of a werewolf and gave Penny Haywood a scare? [/INST] Boggart </s>"
Pepperup Potion evolved from a remedy created by what 12th century wizard?,Linfred of Stinchcombe,<s>[INST] Pepperup Potion evolved from a remedy created by what 12th century wizard? [/INST] Linfred of Stinchcombe </s>
Who was the Hogwarts headmaster before Albus Dumbledore?,Armando Dippet,<s>[INST] Who was the Hogwarts headmaster before Albus Dumbledore? [/INST] Armando Dippet </s>
Scourgify can be used to clean out infestations of what magical creature?,Bundimun,<s>[INST] Scourgify can be used to clean out infestations of what magical creature? [/INST] Bundimun </s>
Where was Harry born?,Godric's Hollow,<s>[INST] Where was Harry born? [/INST] Godric's Hollow </s>
Which of these is needed for successful broom casting?,Balance,<s>[INST] Which of these is needed for successful broom casting? [/INST] Balance </s>
The Medieval Assembly of European Wizards is related to which convention?,International Warlock Convention,<s>[INST] The Medieval Assembly of European Wizards is related to which convention? [/INST] International Warlock Convention </s>
Which spell does the Cleaning Charm most resemble?,Scouring Charm,<s>[INST] Which spell does the Cleaning Charm most resemble? [/INST] Scouring Charm </s>
Why did students think Harry was the Heir of Slytherin?,He can speak Parseltongue.,<s>[INST] Why did students think Harry was the Heir of Slytherin? [/INST] He can speak Parseltongue. </s>
What was the Seeker originally called?,The Hunter,<s>[INST] What was the Seeker originally called? [/INST] The Hunter </s>
Where are the vaults kept in Gringotts Bank?,Deep underground.,<s>[INST] Where are the vaults kept in Gringotts Bank? [/INST] Deep underground. </s>
Which dark magic item is known as the friend of thieves?,Hand of Glory,<s>[INST] Which dark magic item is known as the friend of thieves? [/INST] Hand of Glory </s>
Where does Rubeus Hagrid first tell Harry that he’s a wizard?,In a hut on a rock,<s>[INST] Where does Rubeus Hagrid first tell Harry that he’s a wizard? [/INST] In a hut on a rock </s>
How does one ward off a Dementor?,The Patronus Charm.,<s>[INST] How does one ward off a Dementor? [/INST] The Patronus Charm. </s>
What charm can repel a Lethiford?,Patronus Charm,<s>[INST] What charm can repel a Lethiford? [/INST] Patronus Charm </s>
What dragon did Fleur Delacour face in the first task of the Triwizard Tournament?,Welsh Green,<s>[INST] What dragon did Fleur Delacour face in the first task of the Triwizard Tournament? [/INST] Welsh Green </s>
What is an animagus?,A person with an animal form,<s>[INST] What is an animagus? [/INST] A person with an animal form </s>
"When Riding Facing Backwards, how does steering work?",Turn to the opposite direction.,"<s>[INST] When Riding Facing Backwards, how does steering work? [/INST] Turn to the opposite direction. </s>"
Which Quidditch players fend off the Bludgers?,The Beaters,<s>[INST] Which Quidditch players fend off the Bludgers? [/INST] The Beaters </s>
A Nimbus is a type of what?,Broom,<s>[INST] A Nimbus is a type of what? [/INST] Broom </s>
What's the term for an object imbued with a fragment of a wizard's soul?,Horcrux,<s>[INST] What's the term for an object imbued with a fragment of a wizard's soul? [/INST] Horcrux </s>
What is the primary ingredient in Polyjuice potion?,The hair of the person you want to transform into,<s>[INST] What is the primary ingredient in Polyjuice potion? [/INST] The hair of the person you want to transform into </s>
Who spoke at Aragog's funeral?,Horace Slughorn,<s>[INST] Who spoke at Aragog's funeral? [/INST] Horace Slughorn </s>
Who is the ghost of Slytherin House?,The Bloody Baron,<s>[INST] Who is the ghost of Slytherin House? [/INST] The Bloody Baron </s>
Which potion should you all be required to drink before entering my potion?,Wit-Sharpening Potion,<s>[INST] Which potion should you all be required to drink before entering my potion? [/INST] Wit-Sharpening Potion </s>
Which of the following is NOT a type of Dark Magic?,Charm,<s>[INST] Which of the following is NOT a type of Dark Magic? [/INST] Charm </s>
"After Draco insults Hermione, Ron cast a spell that backfired. What did he intend for Draco to eat?",Slugs,"<s>[INST] After Draco insults Hermione, Ron cast a spell that backfired. What did he intend for Draco to eat? [/INST] Slugs </s>"
Where's one place you would not find any gnomes?,Antarctica,<s>[INST] Where's one place you would not find any gnomes? [/INST] Antarctica </s>
Where would you look to find a bezoar?,In the stomach of a goat,<s>[INST] Where would you look to find a bezoar? [/INST] In the stomach of a goat </s>
How long did the longest Quidditch game last?,Six months,<s>[INST] How long did the longest Quidditch game last? [/INST] Six months </s>
What did Fred and George Weasley use to spy on Order of the Phoenix meetings?,Extendable Ears,<s>[INST] What did Fred and George Weasley use to spy on Order of the Phoenix meetings? [/INST] Extendable Ears </s>
"In the Hall of Prophecy, there are rows and rows of glowing orbs. Which row contains the prophecy about Harry and Voldemort?",97,"<s>[INST] In the Hall of Prophecy, there are rows and rows of glowing orbs. Which row contains the prophecy about Harry and Voldemort? [/INST] 97 </s>"
Lily Potter once gave Professor Slughorn a bowl with a lily that turned into a goldfish. What was the goldfish’s name?,Francis,<s>[INST] Lily Potter once gave Professor Slughorn a bowl with a lily that turned into a goldfish. What was the goldfish’s name? [/INST] Francis </s>
What is the name of the ghost who haunts the Hogwarts bathroom?,Moaning Myrtle,<s>[INST] What is the name of the ghost who haunts the Hogwarts bathroom? [/INST] Moaning Myrtle </s>
What is the name of the librarian at Hogwarts?,Madam Pince,<s>[INST] What is the name of the librarian at Hogwarts? [/INST] Madam Pince </s>
Which Quidditch players fend off the Bludgers?,The Beaters,<s>[INST] Which Quidditch players fend off the Bludgers? [/INST] The Beaters </s>
What are the four Hogwarts houses?,"Gryffindor, Ravenclaw, Slytherin, and Hufflepuff.","<s>[INST] What are the four Hogwarts houses? [/INST] Gryffindor, Ravenclaw, Slytherin, and Hufflepuff. </s>"
How long was You-Know-Who in power?,11 Years,<s>[INST] How long was You-Know-Who in power? [/INST] 11 Years </s>
Which of these is not a type of broom?,Phoenix,<s>[INST] Which of these is not a type of broom? [/INST] Phoenix </s>
What magical plant did Luna Lovegood have growing at home?,Dirigible Plums,<s>[INST] What magical plant did Luna Lovegood have growing at home? [/INST] Dirigible Plums </s>
How many teams are in the British and Irish Quidditch League?,Thirteen,<s>[INST] How many teams are in the British and Irish Quidditch League? [/INST] Thirteen </s>
"What do the abbreviations for the two main wizarding exams, O.W.L.s and N.E.W.T.s, stand for?",Ordinary Wizarding Level and Nastily Exhausting Wizarding Test.,"<s>[INST] What do the abbreviations for the two main wizarding exams, O.W.L.s and N.E.W.T.s, stand for? [/INST] Ordinary Wizarding Level and Nastily Exhausting Wizarding Test. </s>"
What did the Dursleys give Harry for Christmas in his first year at Hogwarts?,Fifty Pence,<s>[INST] What did the Dursleys give Harry for Christmas in his first year at Hogwarts? [/INST] Fifty Pence </s>
The Diricawl is actually thought to be which extinct Muggle bird?,The Dodo.,<s>[INST] The Diricawl is actually thought to be which extinct Muggle bird? [/INST] The Dodo. </s>
"In Book 3, what is Neville Longbottom's greatest fear, revealed upon facing a boggart in Lupin's class?",Professor Snape.,"<s>[INST] In Book 3, what is Neville Longbottom's greatest fear, revealed upon facing a boggart in Lupin's class? [/INST] Professor Snape. </s>"
Who was the House-Eld that once served Barty Crouch Senior?,Winky,<s>[INST] Who was the House-Eld that once served Barty Crouch Senior? [/INST] Winky </s>
Voldemort stole Helga Hufflepuff's cup from an old woman named Hepzibah Smith. What was the name of her house-elf?,Hokey.,<s>[INST] Voldemort stole Helga Hufflepuff's cup from an old woman named Hepzibah Smith. What was the name of her house-elf? [/INST] Hokey. </s>
Who is Stan Shunpike?,The conductor of the Knight Bus,<s>[INST] Who is Stan Shunpike? [/INST] The conductor of the Knight Bus </s>
Nearly Headless Nick is a patron house of which House?,Gryffindor,<s>[INST] Nearly Headless Nick is a patron house of which House? [/INST] Gryffindor </s>
Where was Harry Potter born?,Godric's Hollow,<s>[INST] Where was Harry Potter born? [/INST] Godric's Hollow </s>
What's in a forgetfulness potion?,Lethe Water,<s>[INST] What's in a forgetfulness potion? [/INST] Lethe Water </s>
Which Quidditch players score goals?,The Chasers,<s>[INST] Which Quidditch players score goals? [/INST] The Chasers </s>
What is the name of the magical map that shows the entire layout of Hogwarts?,Marauder's Map,<s>[INST] What is the name of the magical map that shows the entire layout of Hogwarts? [/INST] Marauder's Map </s>
What was the Seeker originally called?,The Hunter,<s>[INST] What was the Seeker originally called? [/INST] The Hunter </s>
How many times did Wendelin the Weird allow herself to be caught by witch-hunters?,Forty-Seven,<s>[INST] How many times did Wendelin the Weird allow herself to be caught by witch-hunters? [/INST] Forty-Seven </s>
What is the name of the three-headed dog guarding the trapdoor in Harry Potter and the Sorcerer's Stone?,Fluffy,<s>[INST] What is the name of the three-headed dog guarding the trapdoor in Harry Potter and the Sorcerer's Stone? [/INST] Fluffy </s>
What item in the Headmaster's Office allows you to review bottled up memories?,The Pensieve,<s>[INST] What item in the Headmaster's Office allows you to review bottled up memories? [/INST] The Pensieve </s>
What does the Drought Charm cause?,Dryness,<s>[INST] What does the Drought Charm cause? [/INST] Dryness </s>
What's the first step to performing a Bell Tailslide?,Flying straight up.,<s>[INST] What's the first step to performing a Bell Tailslide? [/INST] Flying straight up. </s>
What magical artefact creates the Elixir of Life?,Philosopher's Stone,<s>[INST] What magical artefact creates the Elixir of Life? [/INST] Philosopher's Stone </s>
Who is in the first memory Professor Dumbledore shows Harry in the Pensieve?,"Bob Ogden, an employee of the Department of Magical Law Enforcement","<s>[INST] Who is in the first memory Professor Dumbledore shows Harry in the Pensieve? [/INST] Bob Ogden, an employee of the Department of Magical Law Enforcement </s>"
Which of the following spells is not used in Transfiguration Class?,Confundo,<s>[INST] Which of the following spells is not used in Transfiguration Class? [/INST] Confundo </s>
Where did the Goblin Rebellion of 1612 take place?,Hogsmeade Village,<s>[INST] Where did the Goblin Rebellion of 1612 take place? [/INST] Hogsmeade Village </s>
In which of these scenarios would you use the impediment jinx?,To slow a rushing opponent.,<s>[INST] In which of these scenarios would you use the impediment jinx? [/INST] To slow a rushing opponent. </s>
What is Ron's favorite Quidditch team?,Chudley Cannons,<s>[INST] What is Ron's favorite Quidditch team? [/INST] Chudley Cannons </s>
And what about his pet dragon?,Norbert,<s>[INST] And what about his pet dragon? [/INST] Norbert </s>
The visitor’s entrance to the Ministry of Magic is an abandoned red telephone booth in London. What is the five-digit code you must dial to get in?,6-2-4-4-2. (Bonus: This spells M-A-G-I-C on a phone's keypad.),<s>[INST] The visitor’s entrance to the Ministry of Magic is an abandoned red telephone booth in London. What is the five-digit code you must dial to get in? [/INST] 6-2-4-4-2. (Bonus: This spells M-A-G-I-C on a phone's keypad.) </s>
Which spell did Hermione use to release the dragon from Gringotts Bank?,Revulsion Jinx,<s>[INST] Which spell did Hermione use to release the dragon from Gringotts Bank? [/INST] Revulsion Jinx </s>
How many points is the Golden Snitch worth?,150,<s>[INST] How many points is the Golden Snitch worth? [/INST] 150 </s>
You wouldn't know anything about this. Name a method to make your broom go faster.,Using polish,<s>[INST] You wouldn't know anything about this. Name a method to make your broom go faster. [/INST] Using polish </s>
What is the incantation for the Disarming Spell?,Expelliarmus,<s>[INST] What is the incantation for the Disarming Spell? [/INST] Expelliarmus </s>
What does the boggart turn into when Mrs. Weasley sees it?,Her entire family and Harry lying dead on the floor,<s>[INST] What does the boggart turn into when Mrs. Weasley sees it? [/INST] Her entire family and Harry lying dead on the floor </s>
"When Professor Snape takes over Professor Lupin’s Defense Against the Dark Arts class, which page does he ask the students to turn to?",Page 394 (the page on werewolves),"<s>[INST] When Professor Snape takes over Professor Lupin’s Defense Against the Dark Arts class, which page does he ask the students to turn to? [/INST] Page 394 (the page on werewolves) </s>"
Which dry ingredient is used in a wideye potion?,Billywig Sting,<s>[INST] Which dry ingredient is used in a wideye potion? [/INST] Billywig Sting </s>
What did Fred and George Weasley call their joke shop?,Weasleys’ Wizard Wheezes,<s>[INST] What did Fred and George Weasley call their joke shop? [/INST] Weasleys’ Wizard Wheezes </s>
Which of these is not a cleaning spell?,Confrigo,<s>[INST] Which of these is not a cleaning spell? [/INST] Confrigo </s>
What became outlawed after the Warlock's Convention of 1709?,Dragon breeding.,<s>[INST] What became outlawed after the Warlock's Convention of 1709? [/INST] Dragon breeding. </s>
Who is the Herbology professor?,Professor Sprout,<s>[INST] Who is the Herbology professor? [/INST] Professor Sprout </s>
What spell would you use to men a pair of glasses?,Reparo,<s>[INST] What spell would you use to men a pair of glasses? [/INST] Reparo </s>
"Before Dumbledore, who was headmaster of Hogwarts?",Armando Dippet,"<s>[INST] Before Dumbledore, who was headmaster of Hogwarts? [/INST] Armando Dippet </s>"
What does it mean when a magical creature is classified as X by the Ministry of Magic?,Boring,<s>[INST] What does it mean when a magical creature is classified as X by the Ministry of Magic? [/INST] Boring </s>
Which Wizarding school did Gellert Grindelwald attend?,Durmstrang Institute,<s>[INST] Which Wizarding school did Gellert Grindelwald attend? [/INST] Durmstrang Institute </s>
What is the cure for being Petrified?,Mandrake root,<s>[INST] What is the cure for being Petrified? [/INST] Mandrake root </s>
What is the biggest Quidditch event?,World Cup,<s>[INST] What is the biggest Quidditch event? [/INST] World Cup </s>
What is the Grim?,A spectral dog,<s>[INST] What is the Grim? [/INST] A spectral dog </s>
Catching what object ends a Quidditch match?,Golden Snitch,<s>[INST] Catching what object ends a Quidditch match? [/INST] Golden Snitch </s>
Colovaria is also known as what?,Colour Change Charm,<s>[INST] Colovaria is also known as what? [/INST] Colour Change Charm </s>
Where was Harry Potter born?,Godric's Hollow.,<s>[INST] Where was Harry Potter born? [/INST] Godric's Hollow. </s>
How can you tell if a door is Imperturbable?,Chuck stuff at it.,<s>[INST] How can you tell if a door is Imperturbable? [/INST] Chuck stuff at it. </s>
Which potion contains Fluxweed?,Polyjuice Potion,<s>[INST] Which potion contains Fluxweed? [/INST] Polyjuice Potion </s>
What was Gilderoy Lockhart's best Spell?,Obliviate,<s>[INST] What was Gilderoy Lockhart's best Spell? [/INST] Obliviate </s>
What other name is the Doxy commonly known by?,The Biting Fairy.,<s>[INST] What other name is the Doxy commonly known by? [/INST] The Biting Fairy. </s>
Which potion is commonly featured in Muggle fairy tales?,Draught of Living Death,<s>[INST] Which potion is commonly featured in Muggle fairy tales? [/INST] Draught of Living Death </s>
Which was the last of Voldemort's Horcruxes to be destroyed?,Nagini,<s>[INST] Which was the last of Voldemort's Horcruxes to be destroyed? [/INST] Nagini </s>
Which scent attracts Hermione Granger?,"Freshly mown grass, mint toothpaste, and fresh parchment","<s>[INST] Which scent attracts Hermione Granger? [/INST] Freshly mown grass, mint toothpaste, and fresh parchment </s>"
What charm creates water?,Aguamenti,<s>[INST] What charm creates water? [/INST] Aguamenti </s>
What teleportation magic do sixth-years learn at Hogwarts?,Apparition,<s>[INST] What teleportation magic do sixth-years learn at Hogwarts? [/INST] Apparition </s>
What effect does diluted Swooping Evil venom have?,Erases bad memories,<s>[INST] What effect does diluted Swooping Evil venom have? [/INST] Erases bad memories </s>
What does the house with the highest score win?,House Cup,<s>[INST] What does the house with the highest score win? [/INST] House Cup </s>
Which Quidditch players score goals?,The Chasers,<s>[INST] Which Quidditch players score goals? [/INST] The Chasers </s>
What is Hermione's cat's name?,Crookshanks,<s>[INST] What is Hermione's cat's name? [/INST] Crookshanks </s>
Who removes all the bones from Harry’s arm?,Gilderoy Lockhart,<s>[INST] Who removes all the bones from Harry’s arm? [/INST] Gilderoy Lockhart </s>
Which was my Tonks favourite band?,The Weird Sisters,<s>[INST] Which was my Tonks favourite band? [/INST] The Weird Sisters </s>
How many points is the Golden Snitch worth?,150,<s>[INST] How many points is the Golden Snitch worth? [/INST] 150 </s>
How many players are on a Quidditch team?,7,<s>[INST] How many players are on a Quidditch team? [/INST] 7 </s>
Which Quidditch team is last in the league?,Chudley Cannons,<s>[INST] Which Quidditch team is last in the league? [/INST] Chudley Cannons </s>
What is the name of the Hogwarts poltergeist?,Peeves,<s>[INST] What is the name of the Hogwarts poltergeist? [/INST] Peeves </s>
And who is Ron’s actual love interest this year?,Lavender Brown,<s>[INST] And who is Ron’s actual love interest this year? [/INST] Lavender Brown </s>
"In Harry Potter and the Chamber of Secrets, where were Harry, Hermione, and Ron coming from when they found Mrs. Norris petrified?",Nearly Headless Nick's Deathday Party,"<s>[INST] In Harry Potter and the Chamber of Secrets, where were Harry, Hermione, and Ron coming from when they found Mrs. Norris petrified? [/INST] Nearly Headless Nick's Deathday Party </s>"
What is the Ministry of Magic classification system?,A creature's danger level,<s>[INST] What is the Ministry of Magic classification system? [/INST] A creature's danger level </s>
"In Harry Potter and the Half-Blood Prince, in the Weasleys' magical clock, what are all of the hands pointed to when Harry arrives at the Burrow?",Mortal peril,"<s>[INST] In Harry Potter and the Half-Blood Prince, in the Weasleys' magical clock, what are all of the hands pointed to when Harry arrives at the Burrow? [/INST] Mortal peril </s>"
Who invented the Wronski Feint?,Josef Wronski,<s>[INST] Who invented the Wronski Feint? [/INST] Josef Wronski </s>
How should your completed Scintillation Solution look?,Sparkling.,<s>[INST] How should your completed Scintillation Solution look? [/INST] Sparkling. </s>
What is the main ingredient in Harry Potter's wand?,A phoenix feather.,<s>[INST] What is the main ingredient in Harry Potter's wand? [/INST] A phoenix feather. </s>
Streeler venom is one of the only substances known to kill which invasive species?,Horklump,<s>[INST] Streeler venom is one of the only substances known to kill which invasive species? [/INST] Horklump </s>
Who is the Divination professor?,Professor Trelawney,<s>[INST] Who is the Divination professor? [/INST] Professor Trelawney </s>
No spell yet devised allows a wizard to what?,Fly unaided,<s>[INST] No spell yet devised allows a wizard to what? [/INST] Fly unaided </s>
Which of these spells is a severing charm?,Diffindo,<s>[INST] Which of these spells is a severing charm? [/INST] Diffindo </s>
What does the charm Lumos provide?,Light,<s>[INST] What does the charm Lumos provide? [/INST] Light </s>
Which of these is not a form of Transfiguration?,Enchantment,<s>[INST] Which of these is not a form of Transfiguration? [/INST] Enchantment </s>
Where is Hogwarts located?,Scotland,<s>[INST] Where is Hogwarts located? [/INST] Scotland </s>
What is the name of the Hogwarts poltergeist?,Peeves,<s>[INST] What is the name of the Hogwarts poltergeist? [/INST] Peeves </s>
What does the Hair-Raising potion do?,Makes hair stand up,<s>[INST] What does the Hair-Raising potion do? [/INST] Makes hair stand up </s>
Which is NOT another form of magical transportation?,Mop Flying,<s>[INST] Which is NOT another form of magical transportation? [/INST] Mop Flying </s>
What is Hermione’s patronus?,An otter,<s>[INST] What is Hermione’s patronus? [/INST] An otter </s>
Who lied to Voldemort during the final battle by proclaiming that Harry Potter was dead?,Narcissa Malfoy,<s>[INST] Who lied to Voldemort during the final battle by proclaiming that Harry Potter was dead? [/INST] Narcissa Malfoy </s>
How many siblings does Ron Weasley have?,Six,<s>[INST] How many siblings does Ron Weasley have? [/INST] Six </s>
What is a non-side effect of Elixir to induce Euphoria?,Excessive sweating,<s>[INST] What is a non-side effect of Elixir to induce Euphoria? [/INST] Excessive sweating </s>
How many points is the Golden Snitch worth?,150,<s>[INST] How many points is the Golden Snitch worth? [/INST] 150 </s>
Where is Ovomancy thought to originate?,Ancient Greece,<s>[INST] Where is Ovomancy thought to originate? [/INST] Ancient Greece </s>
What does Veritaserum taste like?,It has no taste at all.,<s>[INST] What does Veritaserum taste like? [/INST] It has no taste at all. </s>
What did Xenophilius Lovegood believe Billywig wings could induce?,An elevated frame of mind.,<s>[INST] What did Xenophilius Lovegood believe Billywig wings could induce? [/INST] An elevated frame of mind. </s>
"What spell does Harry discover written in the Half-Blood Prince's potions textbook in Book 6, and who invented it?","Sectumsempra, Severus Snape.","<s>[INST] What spell does Harry discover written in the Half-Blood Prince's potions textbook in Book 6, and who invented it? [/INST] Sectumsempra, Severus Snape. </s>"
What fluffy creature hums when it's happy and likes to stick its tongue up Wizards' noses?,Puffskein,<s>[INST] What fluffy creature hums when it's happy and likes to stick its tongue up Wizards' noses? [/INST] Puffskein </s>
What are the three D’s of a successful Apparition?,"Destination, determination and deliberation","<s>[INST] What are the three D’s of a successful Apparition? [/INST] Destination, determination and deliberation </s>"
Which spell has the opposite effect of Lumos?,Nox,<s>[INST] Which spell has the opposite effect of Lumos? [/INST] Nox </s>
Which of these spells keeps a charm stable?,Fianto Duri,<s>[INST] Which of these spells keeps a charm stable? [/INST] Fianto Duri </s>
How did Mad-Eye Moody punish Draco Malfoy for trying to Hex Harry?,He turned Draco into a ferret.,<s>[INST] How did Mad-Eye Moody punish Draco Malfoy for trying to Hex Harry? [/INST] He turned Draco into a ferret. </s>
"When Riding Facing Backwards, how does steering work?",Turn to the opposite direction.,"<s>[INST] When Riding Facing Backwards, how does steering work? [/INST] Turn to the opposite direction. </s>"
What creature did the Wizards’ Council make a protected species?,Golden Snidget.,<s>[INST] What creature did the Wizards’ Council make a protected species? [/INST] Golden Snidget. </s>
Who is the headmaster of Hogwarts during Harry's time there?,Albus Dumbledore,<s>[INST] Who is the headmaster of Hogwarts during Harry's time there? [/INST] Albus Dumbledore </s>
"According to Hagrid, which is the safest place in the Wizarding World other than Hogwarts?",Gringotts,"<s>[INST] According to Hagrid, which is the safest place in the Wizarding World other than Hogwarts? [/INST] Gringotts </s>"
When did the Witch Trials of 1692 take place?,Salem,<s>[INST] When did the Witch Trials of 1692 take place? [/INST] Salem </s>
"Where do I- I mean, where does Tonks like to hide Jelly Slugs?",Herbology Pots,"<s>[INST] Where do I- I mean, where does Tonks like to hide Jelly Slugs? [/INST] Herbology Pots </s>"
"According to Madam Hooch, which of the following increases your chances of falling to your death? Maybe you should take these as suggestions.",Long hair,"<s>[INST] According to Madam Hooch, which of the following increases your chances of falling to your death? Maybe you should take these as suggestions. [/INST] Long hair </s>"
What is the last line of the last book?,“All was well.”,<s>[INST] What is the last line of the last book? [/INST] “All was well.” </s>
What spell transforms an object into a Portkey?,Portus,<s>[INST] What spell transforms an object into a Portkey? [/INST] Portus </s>
Casting Fumos creates what kind of defensive cloud?,Smoke,<s>[INST] Casting Fumos creates what kind of defensive cloud? [/INST] Smoke </s>
What will help you whilst attempting Strong Braking?,A firm grip.,<s>[INST] What will help you whilst attempting Strong Braking? [/INST] A firm grip. </s>
What's Nearly Headless Nick's real name?,Nicholas de Mimsy-Porpington,<s>[INST] What's Nearly Headless Nick's real name? [/INST] Nicholas de Mimsy-Porpington </s>
What charm silences an opponent?,Silencio,<s>[INST] What charm silences an opponent? [/INST] Silencio </s>
Which of these spells can summon an object?,Accio,<s>[INST] Which of these spells can summon an object? [/INST] Accio </s>
Fill in the blank: Petrificus Totalus is the incantation for the Full Body-Bind curse.,Bind (Got this in the Petrificus Totalus lesson.),<s>[INST] Fill in the blank: Petrificus Totalus is the incantation for the Full Body-Bind curse. [/INST] Bind (Got this in the Petrificus Totalus lesson.) </s>
What is the first line of the book?,"“Mr. and Mrs. Dursley, of number four, Privet Drive, were proud to say that they were perfectly normal, thank you very much.”","<s>[INST] What is the first line of the book? [/INST] “Mr. and Mrs. Dursley, of number four, Privet Drive, were proud to say that they were perfectly normal, thank you very much.” </s>"
Who did not compete in the Triwizard Tournament?,Fred,<s>[INST] Who did not compete in the Triwizard Tournament? [/INST] Fred </s>
Which of these is not a type of broom?,Phoenix,<s>[INST] Which of these is not a type of broom? [/INST] Phoenix </s>
What did the Wizards' Council sign into action in 1692?,International Statute of Wizarding Secrecy,<s>[INST] What did the Wizards' Council sign into action in 1692? [/INST] International Statute of Wizarding Secrecy </s>
What two creatures are Hippogriffs a mix of?,Horses and eagles,<s>[INST] What two creatures are Hippogriffs a mix of? [/INST] Horses and eagles </s>
What is the name of the magical creature that can only be seen by those who have witnessed death?,Thestral,<s>[INST] What is the name of the magical creature that can only be seen by those who have witnessed death? [/INST] Thestral </s>
What job does Luna Lovegood's father hold?,"Editor of ""The Quibbler""","<s>[INST] What job does Luna Lovegood's father hold? [/INST] Editor of ""The Quibbler"" </s>"
What is Nearly Headless Nick's full name?,Nicholas de Mimsy-Porpington,<s>[INST] What is Nearly Headless Nick's full name? [/INST] Nicholas de Mimsy-Porpington </s>
Who is the matron of the orphanage where Voldemort grows up?,Mrs. Cole,<s>[INST] Who is the matron of the orphanage where Voldemort grows up? [/INST] Mrs. Cole </s>
How many points is the Golden Snitch worth?,150,<s>[INST] How many points is the Golden Snitch worth? [/INST] 150 </s>
What tail did Hagrid make Dudley grow because the Dursleys were rude?,Pig tail,<s>[INST] What tail did Hagrid make Dudley grow because the Dursleys were rude? [/INST] Pig tail </s>
How many staircases are at Hogwarts?,142,<s>[INST] How many staircases are at Hogwarts? [/INST] 142 </s>
How many students sleep in each Hogwarts dormitory?,5,<s>[INST] How many students sleep in each Hogwarts dormitory? [/INST] 5 </s>
Kneazles are most similar to what animal?,Cat,<s>[INST] Kneazles are most similar to what animal? [/INST] Cat </s>
How many staircases are at Hogwarts?,142,<s>[INST] How many staircases are at Hogwarts? [/INST] 142 </s>
Which book is instrumental for this lesson?,Charm Your Own Cheese.,<s>[INST] Which book is instrumental for this lesson? [/INST] Charm Your Own Cheese. </s>
Which star is the brightest in the night sky?,Sirius.,<s>[INST] Which star is the brightest in the night sky? [/INST] Sirius. </s>
Which is NOT one of the palm lines we read in Palmistry?,Time line,<s>[INST] Which is NOT one of the palm lines we read in Palmistry? [/INST] Time line </s>
In the Hall of Prophecy there are rows and rows of glowing orbs. Which row contains the prophecy about Harry and Voldemort?,Row 97.,<s>[INST] In the Hall of Prophecy there are rows and rows of glowing orbs. Which row contains the prophecy about Harry and Voldemort? [/INST] Row 97. </s>
What's a telltale sign that mandrakes have matured?,They move into each other's pots,<s>[INST] What's a telltale sign that mandrakes have matured? [/INST] They move into each other's pots </s>
What is the max speed of a Firebolt broomstick?,150 mph,<s>[INST] What is the max speed of a Firebolt broomstick? [/INST] 150 mph </s>
Why would you cast Alohomora?,Unlock a door.,<s>[INST] Why would you cast Alohomora? [/INST] Unlock a door. </s>
What do the students call the Gryffindor ghost?,Nearly Headless Nick.,<s>[INST] What do the students call the Gryffindor ghost? [/INST] Nearly Headless Nick. </s>
What is the biggest Wizarding newspaper in Britain?,The Daily Prophet,<s>[INST] What is the biggest Wizarding newspaper in Britain? [/INST] The Daily Prophet </s>
"In the movie, Professor McGonagall explains the origins of the Chamber of Secrets. Who does it in the book?","Professor Binns, the history teacher (who is also a ghost)","<s>[INST] In the movie, Professor McGonagall explains the origins of the Chamber of Secrets. Who does it in the book? [/INST] Professor Binns, the history teacher (who is also a ghost) </s>"
Who was the first Minister of Magic?,Ulick Gamp,<s>[INST] Who was the first Minister of Magic? [/INST] Ulick Gamp </s>
